Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
,B13,,10.148.20.250,R7515,39QP2L3,,15G,,0,2.5.5,AMD EPYC 7313P,Milan,DDR4 DIMM,,,PERC H730P Mini,
BVT-PQ,B13,,10.148.20.241,R7715,H78ZCB4,MINWINPC,17G,,24,1.1.2,AMD EPYC 9115,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,PERC H965i Front,2.2.13.2033
ESS-DR,B13,,10.148.20.240,R7715,J78ZCB4,localhost.micron.com,17G,,24,1.1.2,AMD EPYC 9115,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,PERC H965i Front,2.2.13.2033
BVT-PQ,B13,,10.148.20.219,R570,4XW6DB4,MINWINPC,17G,,8,1.2.6,Intel Xeon 6731E,Sierra Forest,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,,
BVT-PQ,B13,,10.148.20.223,R670,J8L4DB4,MINWINPC,17G,,22,1.2.6,Intel Xeon 6517P,Granite Rapids,DDR5 DIMM,1.72,,,
BVT-PQ,B13,,10.148.20.222,R7725,5TKXDB4,MINWINPC,17G,,24,1.2.4,AMD EPYC 9255,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,PERC H365i Front/PERC H965i Front,2.2.13.2033
,B13,,10.148.20.225,R7715,J96TDB4,MINWINPC,17G,,32,1.2.4,AMD EPYC 9115,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,PERC H975i Front(Dual PERC),2.2.13.2033
BVT-PQ,B13,,10.148.20.217,R6725,4H9LDB4,MINWINPC,17G,,22,1.2.4,AMD EPYC 9015,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,,
,B13,,10.148.20.242,R7725,6TKXDB4,MINWINPC,17G,,24,1.2.4,AMD EPYC 9255,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,PERC H965i Front(Dual PERC),2.2.13.2033
,B15,,10.148.27.246,R650,DXHQKD3,,15G,,8,1.1.3,Intel Xeon Platinum 8358,Ice Lake,DDR4 DIMM,3.43,BOSS-S2,PERC H345 Front,2.5.13.4008
,B15,,10.148.27.245,R750,8XKZDF3,,15G,,8,1.1.3,Intel Xeon Gold 6338,Ice Lake,DDR4 DIMM,3.48,BOSS-S2,PERC H345 Front,2.5.13.4008
,B15,,10.148.27.249,R650,3V71VD3,,15G,,10,1.1.3,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.43,BOSS-S2,PERC H745 Front,2.5.13.4008
,B15,,10.148.27.253,R740XD,4D8PTD3,,14G,,32,2.10.2,Intel Xeon Gold 5220,Cascade Lake,DDR4 DIMM,2.52,,PERC H740P Mini,
,B15,,10.148.27.252,R7525,7J9JNF3,,15G,,16,2.2.5,AMD EPYC 7252,Rome,DDR4 DIMM,3.48,BOSS-S1,PERC H745 Adapter,2.5.13.3024
,B15,,10.148.27.250,R750,DXDQTD3,WIN-F3NC77OK6KC,15G,,16,1.1.3,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.43,BOSS-S2,PERC H755 Front,2.5.13.4008
